"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Paris, Île-de-France, France","48.8473","2.32604","Sublime and new apartment Saint Germain des Près","8","368","€368","EUR","false","nightly","368","€368","EUR","false","Entire loft","4.5","https://www.airbnb.com/rooms/29847511"
"Paris, Île-de-France, France","48.85926","2.34534","Elegance & Style - Paris Center","7","359","€359","EUR","false","nightly","359","€359","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/5377071"
"Paris, Île-de-France, France","48.85175","2.37045","Bistrot, 2BR/2BA, 6 people","6","382","€382","EUR","false","nightly","382","€382","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/50130085"
"Paris, Île-de-France, France","48.857","2.285","Amazing apartment - 2BR/6P - Eiffel Tower View","6","386","€386","EUR","false","nightly","386","€386","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/24175360"
"Paris, Île-de-France, France","48.84921","2.34878","Historical & luxurious 2Bdr duplex – Notre Dame","6",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/26029890"
"Paris, Île-de-France, France","48.86246","2.37392","Bastille  , quiet family appart near Marais","6","400","€400","EUR","false","nightly","400","€400","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/25223511"
"Paris , Île-de-France, France","48.8656","2.33801","Modern 2-Bed Apt in Paris perfectly located","4","385","€385","EUR","false","nightly","385","€385","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/41546638"
"Paris, Île-de-France, France","48.88","2.337","Wonderful apartment 2BR next to Montmartre","6","387","€387","EUR","false","nightly","387","€387","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/52550938"
"Paris, Île-de-France, France","48.86633","2.3027","Champs-Elysées Triangle d'or Entire beautiful flat","4","357","€357","EUR","false","nightly","357","€357","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/50588644"
"Paris, Île-de-France, France","48.86379","2.35945","Edgar Suites Marais - Réaumur","5","386","€386","EUR","false","nightly","386","€386","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/43937082"
"Paris, Île-de-France, France","48.8653","2.33637","Bright & Cosy 2-Bed Apt in Paris, Sleeps 4","4","385","€385","EUR","false","nightly","385","€385","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/41545075"
"Paris, Île-de-France, France","48.87463","2.29938","Childe Harold **** Luxurious and close to the Arc de Triomphe","4","377","€377","EUR","false","nightly","377","€377","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/50587634"
"Paris, Île-de-France, France","48.87446","2.29804","Lovelace **** Luxury at 50 meters from the Champs-Elysées","2","321","€321","EUR","false","nightly","321","€321","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/50841970"
"Paris, Île-de-France, France","48.85084","2.2648","Design Apartment 3BR/8P Muette / Auteuil village","8","400","€400","EUR","false","nightly","400","€400","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/47723899"
"Paris, Île-de-France, France","48.8723","2.34916","Striking Paris Apartment","6","355","€355","EUR","false","nightly","355","€355","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/12937452"
"Paris, Île-de-France, France","48.86562","2.34504","Luxury Cosy Louvre","8","450","€450","EUR","false","nightly","450","€450","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/31052570"
"Paris, Île-de-France, France","48.86943","2.36291","Amazing loft 4BR/10P - Quai de Valmy","10","458","€458","EUR","false","nightly","458","€458","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/45859028"
"Paris, Île-de-France, France","48.874","2.343","Charming Apartment - Residence Nell Paris","4","438","€438","EUR","false","nightly","438","€438","EUR","false","Entire condo",,"https://www.airbnb.com/rooms/42066196"
"Paris, Île-de-France, France","48.866","2.349","Charming apartment right in the heart of Paris","6","337","€337","EUR","false","nightly","337","€337","EUR","false","Entire condo","5","https://www.airbnb.com/rooms/18066859"
"Paris, Île-de-France, France","48.86019","2.36566","Logement familial du « Marais » chic et parisien","10","450","€450","EUR","false","nightly","450","€450","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/32649597"
"Paris, Île-de-France, France","48.864","2.344","A Trendy 2-BDR Apartment next to the Louvre","4","384","€384","EUR","false","nightly","384","€384","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/12377426"
"Paris, Île-de-France, France","48.85842","2.34915","STUNNING SPACIOUS FLAT IN THE HEART OF PARIS  !","6","390","€390","EUR","false","nightly","390","€390","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/14844876"
"Paris, Île-de-France, France","48.86636","2.28853","Maison Boissiere | Prestige one-bedroom Eiffel Tower","3","417","€417","EUR","false","nightly","417","€417","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/53638937"
"Paris, Île-de-France, France","48.874","2.343","Grands boulevards Chic Folies Bergères","6","364","€364","EUR","false","nightly","364","€364","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/47713799"
"Paris, Île-de-France, France","48.856","2.357","Luxury one bedroom, Heart of Marais","4","350","€350","EUR","false","nightly","350","€350","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/8621716"
"Paris, Île-de-France, France","48.85786","2.34347","Spacious and charming flat on île de la Cité","6","378","€378","EUR","false","nightly","378","€378","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/30583217"
"Paris, Île-de-France, France","48.88835","2.34139","House in Montmartre in the Sacré Cœur district","2","421","€421","EUR","false","nightly","421","€421","EUR","false","Entire home",,"https://www.airbnb.com/rooms/28986164"
"Paris, Île-de-France, France","48.87559","2.31905","Moderne & spacieux appartement proche de Saint Augustin","4","325","€325","EUR","false","nightly","325","€325","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/14540984"
