"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Paris, Île-de-France, France","48.86406","2.28492","Tres Chic Trocadero Garden","6","6050","€6,050","EUR","false","nightly","6050","€6,050","EUR","false","Entire villa",,"https://www.airbnb.com/rooms/20471160"
"Paris, Île-de-France, France","48.867","2.304","Sweet Inn | Exclusive duplex near the Champs-Élysées","12","5040","€5,040","EUR","false","nightly","5040","€5,040","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/41186444"
"Paris, Île-de-France, France","48.868","2.333","Hotel Edouard 7","0","9000","€9,000","EUR","false","nightly","9000","€9,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/43095866"
"Paris, Île-de-France, France","48.874","2.358","Center Paris, Cozy 85 sqm, 7 min walk to Le Marais","6","8000","€8,000","EUR","false","nightly","8000","€8,000","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/33383936"
"Paris, Île-de-France, France","48.876","2.295","Chambre Solo, Magda Champs Elysées","1","9000","€9,000","EUR","false","nightly","9000","€9,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/42658975"
"Paris, Île-de-France, France","48.876","2.319","Hotel Maison Malesherbes","3","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Room in hotel",,"https://www.airbnb.com/rooms/42534894"
"Paris, Île-de-France, France","48.87835","2.29414","Suite, Star Champs Elysées","4","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/42812753"
"Paris, Île-de-France, France","48.86245","2.35972","Hotel Ecole Centrale, Twin Room","2","9247","€9,247","EUR","false","nightly","9247","€9,247","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/36111675"
"Paris-14E-Arrondissement, Île-de-France, France","48.83846","2.32012","Luminous bedroom - Paris center","2","8792","€8,792","EUR","false","nightly","8792","€8,792","EUR","false","Private room in rental unit","4.5","https://www.airbnb.com/rooms/21752738"
"Boulogne-Billancourt, Île-de-France, France","48.84788","2.24079","Trendy Peaceful Flat / 300m of Roland Garros","2","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/49743689"
"Paris, Île-de-France, France","48.84437","2.2884","Chambre privée au calme / Private room quiet","2","9000","€9,000","EUR","false","nightly","9000","€9,000","EUR","false","Private room in rental unit","4","https://www.airbnb.com/rooms/12963533"
"Paris, Île-de-France, France","48.855","2.333","Hotel Bel Ami","3","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/42534842"
"Nanterre, Île-de-France, France","48.887","2.193","A VENDRE Demeure Bourgeoise Nanterre 1 355 000 eur","10","8000","€8,000","EUR","false","nightly","8000","€8,000","EUR","false","Entire home",,"https://www.airbnb.com/rooms/2232095"
"Paris, Île-de-France, France","48.83816","2.32282","Citadines Maine Montparnasse, 1Bdr Apartment","4","8400","€8,400","EUR","false","nightly","8400","€8,400","EUR","false","Room in aparthotel",,"https://www.airbnb.com/rooms/45339446"
"Paris, Île-de-France, France","48.8509","2.26114","Charmant Studio Paris 16 à côté de Roland Garros","2","44","€44","EUR","false","nightly","44","€44","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/44137005"
"Paris, Île-de-France, France","48.85164","2.26155","Luxe et confort Parisien :-)","2","184","€184","EUR","false","nightly","184","€184","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/31399210"
"Paris, Île-de-France, France","48.84837","2.26131","chambre (wifi)de bonne ,8ème étage ,sans ascenseur","1","37","€37","EUR","false","nightly","37","€37","EUR","false","Private room",,"https://www.airbnb.com/rooms/53587722"
"Boulogne-Billancourt, Île-de-France, France","48.85148","2.23757","3 Pièces 90m2 Paris 16e à côté de Roland Garros","4","138","€138","EUR","false","nightly","138","€138","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/34375742"
"Paris, Île-de-France, France","48.84847","2.26083","Charmant studio Paris  16e","2","45","€45","EUR","false","nightly","45","€45","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/21354852"
"Paris, Île-de-France, France","48.8533","2.26125","Paris, appartement de charme dans le 16eme","4","170","€170","EUR","false","nightly","170","€170","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/52234561"
"Paris, Île-de-France, France","48.85215","2.26033","MY HOME IS YOURS PARIS 16e Auteuil","4","129","€129","EUR","false","nightly","129","€129","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/1231566"
"Paris, Île-de-France, France","48.85353","2.26113","Sunny beautiful appt 16th/15min from Eiffel Tower.","4","108","€108","EUR","false","nightly","108","€108","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/7364405"
"Paris, Île-de-France, France","48.85097","2.25798","Coquet studio Porte d'Auteuil (arrivée tardive ok)","2","79","€79","EUR","false","nightly","79","€79","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/14438950"
"Paris, Île-de-France, France","48.85319","2.26152","Amazing 60m2 flat in Western Paris !!","2","110","€110","EUR","false","nightly","110","€110","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/50009816"
"Paris, Île-de-France, France","48.84868","2.26095","Bel appartement accueillant","2","95","€95","EUR","false","nightly","95","€95","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/50170000"
"Paris, Île-de-France, France","48.85113","2.26153","Bright and Modern Flat near Porte d'Auteuil Metro","4","117","€117","EUR","false","nightly","117","€117","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/19109665"
"Paris, Île-de-France, France","48.85143","2.25979","Charmant studio Paris 16ème","2","50","€50","EUR","false","nightly","50","€50","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/35477946"
"Paris, France","48.8489","2.26143","Balcony Bliss steps from the Bois de Boulogne","8","648","€648","EUR","false","nightly","648","€648","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/27353873"
"Paris, Île-de-France, France","48.84928","2.26163","Bel appartement (entier) tout confort Auteuil","4","160","€160","EUR","false","nightly","160","€160","EUR","false","Private room in rental unit",,"https://www.airbnb.com/rooms/50237563"
"Paris, Île-de-France, France","48.85135","2.28411","vue sur tour effeil","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/31983199"
"Paris, Île-de-France, France","48.85482","2.28065","T1 between the Seine, the Eiffel Tower and Passy","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/51483323"
"Paris, Île-de-France, France","48.8534","2.28701","Wonderful flat close to the Eiffel Tower","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/46578224"
"Paris, Île-de-France, France","48.85326","2.28704","Cosy 2-room flat, Seine view, next to Eiffel Tower","4",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/6124732"
"Paris, France","48.85189","2.28659","Appartement 30 m² - Piscine - proche Tour Eiffel","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/25009341"
"Paris, Île-de-France, France","48.85115","2.28321","Marvelous view of the Eiffel Tower and the Seine","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/19152456"
"Paris, Île-de-France, France","48.85313","2.28699","Space, confort, sun, calm ! and so Parisian …","4",,,,,,,,,,"Entire condo","5","https://www.airbnb.com/rooms/2659119"
"Paris, Île-de-France, France","48.85162","2.28614","En-Suite with the view, near Eiffel Tower","2",,,,,,,,,,"Private room in rental unit","4.5","https://www.airbnb.com/rooms/27247846"
"Paris, Île-de-France, France","48.85254","2.28588","Seine & Spacious Flat - GG2","6",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/48618509"
"Paris, Île-de-France, France","48.85078","2.28483","Appartemment à Beaugrenelle avec vue spectaculaire","3",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/44205199"
"Paris, Île-de-France, France","48.85132","2.28685","A Photographer's Den Near the Eiffel Tower+View ❤️","4",,,,,,,,,,"Entire condo","5","https://www.airbnb.com/rooms/25052898"
"Paris, Île-de-France, France","48.85217","2.28666","Cocoon in the sky of Paris Eiffel Tower view","3",,,,,,,,,,"Entire condo","4.5","https://www.airbnb.com/rooms/53701544"
"Paris, Île-de-France, France","48.85451","2.28067","Apparemment Hausmanien  Paris 16ème","6",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/5551496"
"Paris, Île-de-France, France","48.855033638653474","2.2822406488964755","Promo Passy Cosy Superbe vue dégagée sur la Seine","4",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/36877379"
"Paris, Île-de-France, France","48.85168","2.28594","Large, Practical Studio Near the Eiffel Tower!","3",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/13405465"
"Paris, Île-de-France, France","48.85142","2.28463","BEL APPARTEMENT MEUBLÉ DE 60 M2","4",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/45617206"
"Paris, Île-de-France, France","48.85154","2.28576","Functional and cosy studio close to Eiffel Tower","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/43713294"
"Paris, Île-de-France, France","48.85188","2.28694","Paris from the top... Vue de rêve sur Paris","5",,,,,,,,,,"Entire condo","4.5","https://www.airbnb.com/rooms/35730913"
"Paris, Île-de-France, France","48.85324","2.28653","Appartement tout confort proche Tour Eiffel","5",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/52202656"
"Paris-15E-Arrondissement, Île-de-France, France","48.85186","2.28513","Yooma-Room Family room up to 4","4",,,,,,,,,,"Room in hotel","4.5","https://www.airbnb.com/rooms/22023884"
"Paris, Île-de-France, France","48.85092","2.28528","Proche de la Tour Eiffel, appartement agréable","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/13767294"
"Paris, Île-de-France, France","48.854","2.281","Beautiful and luminous apartment","6",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/48373634"
"Paris 15e, France","48.85247","2.28692","⭐️Roomy flat for families⭐️Balcony⭐️Eiffel tower","4",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/42261406"
"Paris-15E-Arrondissement, Île-de-France, France","48.85119","2.28544","Yooma Family room Up to 6","6",,,,,,,,,,"Room in boutique hotel","4.5","https://www.airbnb.com/rooms/22953696"
"Paris, Île-de-France, France","48.85106","2.28662","💕Exceptional view on the Eiffel Tower and Paris💕","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/44117472"
"Paris, Île-de-France, France","48.85438","2.27242","116480  - Appartement 4 personnes auteuil-victor-hugo","4","243","€243","EUR","false","nightly","243","€243","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/54375626"
"Paris, Île-de-France, France","48.85488","2.27117","Pied-à-terre idéalement situé","4","105","€105","EUR","false","nightly","105","€105","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/36472039"
"Paris, Île-de-France, France","48.85267","2.28535","Georgeous Penthouse. Near Eiffel Tower.","3",,,,,,,,,,"Entire condo",,"https://www.airbnb.com/rooms/53733167"
"Paris, Île-de-France, France","48.85497","2.27237","MEDIUM STAY ONLY - Charming F2 in the heart of Paris 16 - WELKEYS","2","71","€71","EUR","false","nightly","71","€71","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/19405458"
"Paris, Île-de-France, France","48.85441","2.27186","Superbe appart haussmannien 3 chambres Paris 16","6","300","€300","EUR","false","nightly","300","€300","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/43784730"
"Paris, Île-de-France, France","48.85469","2.27159","Sofa bed in Paris 16","2","33","€33","EUR","false","nightly","33","€33","EUR","false","Shared room in condo","5","https://www.airbnb.com/rooms/34198598"
"Paris, Île-de-France, France","48.85418","2.27219","Charming and calm bedroom","2","125","€125","EUR","false","nightly","125","€125","EUR","false","Private room in rental unit","5","https://www.airbnb.com/rooms/24564156"
"Paris, Île-de-France, France","48.85803","2.30234","Parisian flat 3 min from the Eiffel Tower","2","100","€100","EUR","false","nightly","100","€100","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/32636310"
"Paris, Île-de-France, France","48.8544","2.2717","Joli studio clair et calme Paris 16","3","120","€120","EUR","false","nightly","120","€120","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/44461472"
"Paris, Île-de-France, France","48.83619","2.28517","Appartement 135 m2 Paris Expo porte de Versailles","6","400","€400","EUR","false","nightly","400","€400","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/27845734"
"Paris, Île-de-France, France","48.85707","2.30274","Nice studio,near the Eiffel Tower and Champde Mars","2","60","€60","EUR","false","nightly","60","€60","EUR","false","Private room in rental unit","5","https://www.airbnb.com/rooms/13308703"
"Paris, Île-de-France, France","48.83634","2.2855","Belle Chambre à Paris 15 ème.","2","50","€50","EUR","false","nightly","50","€50","EUR","false","Private room in rental unit","4.5","https://www.airbnb.com/rooms/18951169"
"Paris, Île-de-France, France","48.83667","2.28556","Edgar Suites - Cosy Apartment for 4 pax","4","226","€226","EUR","false","nightly","226","€226","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/23958802"
"Paris, Île-de-France, France","48.83661","2.28575","Sweet apartment very well located","2","56","€56","EUR","false","nightly","56","€56","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/7100598"
"Paris, Île-de-France, France","48.85466","2.28154","S° Studio luxueux avec balcon à louer au mois","2",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/46214315"
"Paris, Île-de-France, France","48.85442","2.29434","Studio à deux pas de la Tour Eiffel","2","84","€84","EUR","false","nightly","84","€84","EUR","false","Entire condo","5","https://www.airbnb.com/rooms/46477198"
"Paris, France","48.83724","2.28549","Edgar Suites - Charming Appartement","4","249","€249","EUR","false","nightly","249","€249","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/23911039"
"Paris, Île-de-France, France","48.8541","2.29887","Studio Eiffel tower","2","65","€65","EUR","false","nightly","65","€65","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/16874296"
"Paris, Île-de-France, France","48.85628","2.30316","Cosy Flat very close Eiffel Tower","2","85","€85","EUR","false","nightly","85","€85","EUR","false","Private room in rental unit","4.5","https://www.airbnb.com/rooms/31587580"
"Paris, Île-de-France, France","48.85739","2.30149","Tour Eiffel view Private 1BR/studio (full)","2","94","€94","EUR","false","nightly","94","€94","EUR","false","Private room in condo","4.5","https://www.airbnb.com/rooms/53188887"
"Paris, Île-de-France, France","48.85658","2.29999","Studio in front of the Eiffel tower","2","90","€90","EUR","false","nightly","90","€90","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/629392"
"Paris, Île-de-France, France","48.85671","2.30214","Chambre privée cosy luxe au Champ-de-Mars","2","109","€109","EUR","false","nightly","109","€109","EUR","false","Private room in rental unit","5","https://www.airbnb.com/rooms/27344612"
"Paris, Île-de-France, France","48.85762","2.30256","Studio neuf, VUE EXCEPTIONNELLE, très bien équipé","2","129","€129","EUR","false","nightly","129","€129","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/45198013"
"Paris, Île-de-France, France","48.85508","2.30314","Sunny flat 2 minutes from Eiffel Tower","2","86","€86","EUR","false","nightly","86","€86","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/32696994"
"Paris, Île-de-France, France","48.85962","2.30292","N8 - Magnifique appartement cosy Tour EIFFEL","2","120","€120","EUR","false","nightly","120","€120","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/54236724"
"Paris, Île-de-France, France","48.85653","2.30198","Studio at 500 meters from the Eiffel Tower","2","40","€40","EUR","false","nightly","40","€40","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/26524679"
"Paris, Île-de-France, France","48.85446","2.29487","Ravissant Appartement lumineux à deux minutes de la Tour Eiffel","4","175","€175","EUR","false","nightly","175","€175","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/14633238"
"Paris, Île-de-France, France","48.85858","2.30324","Appartement proche Tour Eiffel","4","135","€135","EUR","false","nightly","135","€135","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/43393630"
"Paris, Île-de-France, France","48.85845","2.30108","Studio de charme à deux pas de la Tour Eiffel","2","35","€35","EUR","false","nightly","35","€35","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/50868551"
"Paris, Île-de-France, France","48.85486","2.29376","Beautiful 75sqm, 5’ walk from the Eiffel Tower","2","150","€150","EUR","false","nightly","150","€150","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/27827856"
"Paris, Île-de-France, France","48.85717","2.30193","Charmant appartment in the heart of Paris","3","130","€130","EUR","false","nightly","130","€130","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/24538105"
"Paris, Île-de-France, France","48.85645","2.30179","Magic View of Eiffel Tower(entire apartment 52m2)","2","220","€220","EUR","false","nightly","220","€220","EUR","false","Private room in rental unit","5","https://www.airbnb.com/rooms/28960450"
"Paris, Île-de-France, France","48.85879","2.29637","Luxury 2 Bedroom - Eiffel Tower","6",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/34381363"
"Paris, Île-de-France, France","48.85354","2.29519","TOUR EIFFEL VUE FANTASTIQU STUDIO ET BALCON PRIVES","2","269","€269","EUR","false","nightly","269","€269","EUR","false","Private room in rental unit","5","https://www.airbnb.com/rooms/15297775"
"Paris, Île-de-France, France","48.858","2.302","Studio (full)- 5 min walk from Eiffel Tower","4",,,,,,,,,,"Private room in rental unit","5","https://www.airbnb.com/rooms/41405749"
"Paris, Île-de-France, France","48.85337","2.29759","MODERN STUDIO CLOSE TO EIFFEL TOWER","2",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/32184592"
"Paris, Île-de-France, France","48.85975","2.30237","Quiet and bright apartment with 2 bedrooms","3",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/53178585"
"Paris, Île-de-France, France","48.85492","2.29358","EIFFEL TOWER AREA, COSY ARTY LOFT","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/48051746"
"Paris, Île-de-France, France","48.85877","2.30085","Tour Eiffel Champs Elysées Notre Dame","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/54212820"
"Paris, Île-de-France, France","48.85234","2.30043","Beautiful studio on the Eiffel Tower  grounds","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/16774418"
"Paris, Île-de-France, France","48.85432","2.29504","Looking out on a garden 3 min to the Eiffel Tower","3",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/7165479"
"Paris, France","48.85654","2.30174","Modernly Furnished flat close to Grand palais ephemer et champs de mars (E20)","4",,,,,,,,,,"Entire rental unit","4","https://www.airbnb.com/rooms/21469676"
"Paris, Île-de-France, France","48.859","2.298","Direct view Eiffel Tower for 2/4 !","4",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/2773082"
"Paris, Île-de-France, France","48.85736","2.30338","Suite de charme près de la Tour Eiffel","2",,,,,,,,,,"Entire place","5","https://www.airbnb.com/rooms/21185874"
"Paris, Île-de-France, France","48.85695","2.29992","Private 1BR/studio (full) under Tour Eiffel","2",,,,,,,,,,"Private room in condo","4.5","https://www.airbnb.com/rooms/53188681"
"Paris, Île-de-France, France","48.85608","2.30168","NID D’AMOUR
à deux pas de la Tour Eiffel","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/35731585"
"Paris, Île-de-France, France","48.85888","2.29826","Sunbathed 1BR - next to the Eiffel Tower","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/13986609"
"Paris, Île-de-France, France","48.85987","2.29706","Studio - EIffel Tower - Trocadero","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/26495819"
"Paris, Île-de-France, France","48.85399","2.29228","Appartement avec balcon proche Tour Eiffel","2",,,,,,,,,,"Entire condo","5","https://www.airbnb.com/rooms/50838408"
"Paris, Île-de-France, France","48.85386","2.2955","Paris : Studio neuf de 20 m2 avec balcon","2",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/53109431"
"Paris, Île-de-France, France","48.85602","2.29308","Penthouse w the best view of Paris","2","360","€360","EUR","false","nightly","360","€360","EUR","false","Entire loft","5","https://www.airbnb.com/rooms/827062"
"Paris, Île-de-France, France","48.85696","2.30242","Cozy studio 5 minutes from Eiffel Tower","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/52891507"
"Paris 7e Arrondissement, France","48.857","2.303","✥ The Wooden Cocoon ✥ Cosy & Calm ✥ Eiffel Tower ✥","2",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/26626147"
"Paris, Île-de-France, France","48.85266","2.29209","Eiffel Tower - Luxury flat with breathtaking view","2","265","€265","EUR","false","nightly","265","€265","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/45137754"
"Paris, Île-de-France, France","48.85451","2.29683","Lovely Eiffel Studio - Champ de Mars 7e","2",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/52872580"
"Paris, Île-de-France, France","48.854","2.296","MAGNIFIQUE VUE TOUR EIFFEL STUDIO ET BALCON PRIVES","2","269","€269","EUR","false","nightly","269","€269","EUR","false","Private room in rental unit","5","https://www.airbnb.com/rooms/19796151"
"Paris, Île-de-France, France","48.85463","2.2937","Next to the Eiffel Tower with view","4",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/890465"
"Paris, Île-de-France, France","48.85753","2.30299","Charming flat near Eiffel Tower - Mobility Lease","4","123","€123","EUR","false","nightly","123","€123","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/17231407"
"Paris, Île-de-France, France","48.85468","2.29338","Charming 2-room apt. by Eiffel Tower, safe & quiet","2","132","€132","EUR","false","nightly","132","€132","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/994093"
"Paris, Île-de-France, France","48.858","2.303","Studio  Champs de Mars - Paris 7","1","47","€47","EUR","false","nightly","47","€47","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/33753803"
"Paris, Île-de-France, France","48.858","2.303","NEAR EIFFEL TOWER...BEAUTIFUL FAMILY FLAT.","4","187","€187","EUR","false","nightly","187","€187","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/5295413"
"Paris, Île-de-France, France","48.85682","2.30026","Eiffel Tower, one bedroom- sleeps 4","4",,,,,,,,,,"Entire rental unit","5","https://www.airbnb.com/rooms/18474095"
"Paris, Île-de-France, France","48.85318","2.29778","Gorgeous Penthouse with Terrace near Eiffel Tower","4","272","€272","EUR","false","nightly","272","€272","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/23301596"
"Paris, Île-de-France, France","48.85712","2.30267","Penthause Studio Apartment Paris 7eme","2","60","€60","EUR","false","nightly","60","€60","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/19096744"
"Paris, France","48.85866","2.30116","Large confotable studio ,best place to walk to Paris highlights including Eiffel tower (A09)","4",,,,,,,,,,"Entire rental unit","4.5","https://www.airbnb.com/rooms/16011129"
"Paris, Île-de-France, France","48.85429","2.29604","Eiffel Tower: Charming and Design Appart 2BR/6P","6","194","€194","EUR","false","nightly","194","€194","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/45430025"
"Paris, Île-de-France, France","48.85965","2.2995","Dans les jardins de la Tour Eiffel","7","190","€190","EUR","false","nightly","190","€190","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/29718299"
"Paris, Île-de-France, France","48.858","2.303","LIEU EXCEPTIONNEL - PARIS 7 - PROCHE TOUR EIFFEL","4","140","€140","EUR","false","nightly","140","€140","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/28178105"
"Paris, Île-de-France, France","48.85753","2.29954","Eiffel Tower - cozy & very quiet flat","2","131","€131","EUR","false","nightly","131","€131","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/12780293"
"Paris, Île-de-France, France","48.85906","2.29686","One Block from Eiffel Tower (Mobility lease)","7","300","€300","EUR","false","nightly","300","€300","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/16971179"
"Paris, Île-de-France, France","48.85377","2.2958","Amazing apartment near Eiffel Tower","2","350","€350","EUR","false","nightly","350","€350","EUR","false","Entire condo","4.5","https://www.airbnb.com/rooms/38517692"
"Paris, Île-de-France, France","48.85529","2.29231","Unique Eiffel Tower and Paris views","4","370","€370","EUR","false","nightly","370","€370","EUR","false","Entire condo","5","https://www.airbnb.com/rooms/3551243"
"Paris, Île-de-France, France","48.85621","2.29277","Modern Family Apartment Next To The Eiffel Tower","5","335","€335","EUR","false","nightly","335","€335","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/48434088"
"Paris, Île-de-France Region, France","48.85722","2.29483","Amaizing & Modern 2 bedrooms next to Eiffel Tower","4","552","€552","EUR","false","nightly","552","€552","EUR","false","Room in serviced apartment","5","https://www.airbnb.com/rooms/33181203"
"Paris, Île-de-France, France","48.85226","2.2927","Eiffel Story House","5","186","€186","EUR","false","nightly","186","€186","EUR","false","Private room in condo","4.5","https://www.airbnb.com/rooms/52254729"
"Paris, Île-de-France, France","48.85293","2.29342","Studio A++ Eiffel Tower","2","110","€110","EUR","false","nightly","110","€110","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/51543214"
"Paris, Île-de-France, France","48.85388","2.29469","2 pièces  au calme avec magnifique vue tour Eiffel","4","165","€165","EUR","false","nightly","165","€165","EUR","false","Entire condo",,"https://www.airbnb.com/rooms/52464557"
"Paris, Île-de-France, France","48.853","2.297","Cool Apt. Tour Eiffel - Big Terrace - Renewed 2020","2","150","€150","EUR","false","nightly","150","€150","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/3567368"
"Paris, Île-de-France, France","48.85829","2.30255","Lovely place in a quiet area between Invalides et Eiffel tower  A08 Bis1 BM","2",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/49337526"
"Paris, Île-de-France, France","48.854","2.297","Modern Champs de Mars 1BR w/ Elevator, near Eiffel Tower, by Blueground","2","124","€124","EUR","false","nightly","124","€124","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/49281087"
"Paris, Île-de-France, France","48.858","2.302","The Artist ✶ design & spacious ✶close Eiffel Tower","2",,,,,,,,,,"Entire rental unit",,"https://www.airbnb.com/rooms/50128480"
"Paris, Îl, France","48.86013","2.29614","Joie by Charlie Tower Eiffel/ Quais de Seine","2","102","€102","EUR","false","nightly","102","€102","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/47988657"
"Paris, Île-de-France, France","48.85631","2.30153","2 Bedrooms Loft 5 mins from Effeil tower","7","169","€169","EUR","false","nightly","169","€169","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/18495744"
"Paris, Île-de-France, France","48.85634","2.2952","An evening with Gustave Eiffel","6","714","€714","EUR","false","nightly","714","€714","EUR","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/31823668"
"Paris, Île-de-France, France","48.86136","2.30129","Charming app 2 minutes walking Eiffel tower","2","150","€150","EUR","false","nightly","150","€150","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/51745628"
